NormalFormat,CustomName,Year,Session,Timezone,Paper,Subject,Level,Questions,Original,Markscheme,Scanned,Printed,CompletedDate,Completed,Partial,Mark,Maximum,Notes,IgnoreUpdate,GB7,GB6,GB5,GB4,GB3,GB2,GB1,GBMAX
False,Task Maker 3001,,TM,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/TM\\original-Task Maker 3001.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/TM\\scanned-Task Maker 3001.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-05 00:00:00.000000,True,False,38.0,55.0,,False,0,0,0,0,0,0,0,0
False,Task Maker 3002,,TM,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics\\original-Task Maker 3002.pdf"", ""valid"": false, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/TM\\scanned-Task Maker 3002.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-26 00:00:00.000000,True,False,49.0,50.0,,False,0,0,0,0,0,0,0,0
False,Task Maker 3003,,TM,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/TM\\original-Task Maker 3003.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/TM\\markscheme-Task Maker 3003.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/TM\\scanned-Task Maker 3003.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-01 00:00:00.000000,True,False,40.0,53.0,,False,0,0,0,0,0,0,0,0
False,Task Maker 3004,,TM,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/TM\\original-Task Maker 3004.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/TM\\scanned-Task Maker 3004.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-27 00:00:00.000000,True,False,38.0,50.0,,False,0,0,0,0,0,0,0,0
False,Task Maker 3005,,TM,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/TM\\original-Task Maker 3005.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/TM\\scanned-Task Maker 3005.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-02 00:00:00.000000,True,False,35.0,57.0,,False,0,0,0,0,0,0,0,0
False,Task Maker 3008,,TM,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/TM\\original-Task Maker 3008.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/TM\\scanned-Task Maker 3008.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-10-06 00:00:00.000000,True,False,35.0,50.0,Review Q1(e),False,0,0,0,0,0,0,0,0
False,Task Maker 3006,,TM,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/TM\\original-Task Maker 3006.pdf"", ""valid"": true, ""identifier"": """"}]",[],[],True,2022-10-08 00:00:00.000000,True,False,32.0,48.0,,False,9,8,7,6,5,40,3,101
False,Task Maker 3011,,TM,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/TM\\original-Task Maker 3011.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/TM\\scanned-Task Maker 3011.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-29 00:00:00.000000,True,False,47.0,55.0,,False,0,0,0,0,0,0,0,0
False,Task Maker 3007,,TM,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/TM\\original-Task Maker 3007.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/TM\\scanned-Task Maker 3007.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-09-02 00:00:00.000000,True,False,34.0,48.0,,False,0,0,0,0,0,0,0,0
False,Task Maker 3009,,TM,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/TM\\original-Task Maker 3009.pdf"", ""valid"": true, ""identifier"": """"}]",[],"[{""path"": ""Papers/Mathematics/Higher Level/TM\\scanned-Task Maker 3009.pdf"", ""valid"": true, ""identifier"": """"}]",True,2022-10-05 00:00:00.000000,True,False,35.0,55.0,,False,0,0,0,0,0,0,0,0
False,Task Maker 3010,,TM,,3.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/TM\\original-Task Maker 3010.pdf"", ""valid"": true, ""identifier"": """"}]",[],[],True,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1995.0,M,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1995/May/TZ0\\original-M-1995-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1995.0,M,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1995/May/TZ0\\original-M-1995-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1995.0,N,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1995/November/TZ0\\original-N-1995-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1995.0,N,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1995/November/TZ0\\original-N-1995-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1995/November/TZ0\\markscheme-N-1995-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1996.0,M,0.0,2.0,MA,HL,,[],"[{""path"": ""Papers/Mathematics/Higher Level/1996/May/TZ0\\markscheme-M-1996-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1996.0,N,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1996/November/TZ0\\original-N-1996-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1996.0,N,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1996/November/TZ0\\original-N-1996-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1996/November/TZ0\\markscheme-N-1996-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1997.0,M,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1997/May/TZ0\\original-M-1997-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1997/May/TZ0\\markscheme-M-1997-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1997.0,M,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1997/May/TZ0\\original-M-1997-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1997/May/TZ0\\markscheme-M-1997-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1997.0,N,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1997/November/TZ0\\original-N-1997-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1997/November/TZ0\\markscheme-N-1997-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1997.0,N,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1997/November/TZ0\\original-N-1997-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1997/November/TZ0\\markscheme-N-1997-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1998.0,M,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1998/May/TZ0\\original-M-1998-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1998/May/TZ0\\markscheme-M-1998-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1998.0,M,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1998/May/TZ0\\original-M-1998-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1998/May/TZ0\\markscheme-M-1998-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1998.0,N,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1998/November/TZ0\\original-N-1998-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1998/November/TZ0\\markscheme-N-1998-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1998.0,N,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1998/November/TZ0\\original-N-1998-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1998/November/TZ0\\markscheme-N-1998-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1999.0,M,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1999/May/TZ0\\original-M-1999-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1999/May/TZ0\\markscheme-M-1999-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1999.0,M,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1999/May/TZ0\\original-M-1999-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1999/May/TZ0\\markscheme-M-1999-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1999.0,N,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1999/November/TZ0\\original-N-1999-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1999/November/TZ0\\markscheme-N-1999-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,1999.0,N,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/1999/November/TZ0\\original-N-1999-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/1999/November/TZ0\\markscheme-N-1999-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2000.0,M,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2000/May/TZ0\\original-M-2000-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2000/May/TZ0\\markscheme-M-2000-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2000.0,M,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2000/May/TZ0\\original-M-2000-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2000/May/TZ0\\markscheme-M-2000-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2000.0,N,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2000/November/TZ0\\original-N-2000-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2000/November/TZ0\\markscheme-N-2000-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2000.0,N,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2000/November/TZ0\\original-N-2000-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2000/November/TZ0\\markscheme-N-2000-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2001.0,M,0.0,1.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2001/May/TZ0\\original-M-2001-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2001/May/TZ0\\markscheme-M-2001-TZ0-P1-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
True,,2001.0,M,0.0,2.0,MA,HL,,"[{""path"": ""Papers/Mathematics/Higher Level/2001/May/TZ0\\original-M-2001-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]","[{""path"": ""Papers/Mathematics/Higher Level/2001/May/TZ0\\markscheme-M-2001-TZ0-P2-MA-HL.pdf"", ""valid"": true, ""identifier"": """"}]",[],False,,False,False,0.0,0.0,,False,0,0,0,0,0,0,0,0
